council,saving_ref,description,service_area,amount_000_2026_27,amount_000_full_mtfs,f1_new_vs_carried,f2_type,f3_statutory_vs_discretionary,f4_shows_in_ra,f5_delivery_rag,reform_attributable,notes
Lincolnshire,AppB-009,ASC budget summit: commissioning review,Adult social care,56.0,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-010,ASC complex-case risk share,Adult social care,142.3,,carried_forward,cashable,statutory,tbd,,partial,
Lincolnshire,AppB-011,ASC residential income (demand),Adult social care,232.3,,unclear,income,statutory,tbd,,partial,
Lincolnshire,AppB-012,ASC Shared Lives demand offset,Adult social care,328.3,,unclear,cost_avoidance,statutory,tbd,,partial,
Lincolnshire,AppB-013,ASC MH strength-based reviews,Adult social care,736.0,,unclear,cashable,statutory,tbd,,partial,
Lincolnshire,AppB-014,ASC budget summit: operational efficiencies,Adult social care,757.7,,new,cashable,statutory,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-015,ASC S75 income,Adult social care,1000.0,,unclear,income,statutory,tbd,,partial,
Lincolnshire,AppB-016,ASC MH service efficiencies,Adult social care,1377.0,,unclear,cashable,statutory,tbd,,partial,
Lincolnshire,AppB-017,Better Care Fund ICB grant income,Adult social care,1103.0,,unclear,income,statutory,tbd,,no,
Lincolnshire,AppB-018,Public health grant maximisation,Public health,44.3,,carried_forward,income,statutory,tbd,,partial,PHG reserve/lifestyle remodel.
Lincolnshire,AppB-019,PH budget summit: grant maximisation,Public health,373.6,,new,income,statutory,tbd,,yes,
Lincolnshire,AppB-020,PH budget summit: operational efficiencies,Public health,894.4,,new,cashable,statutory,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-021,PH remodel Integrated Lifestyle Service,Public health,1100.0,,new,cashable,statutory,tbd,,yes,PHG lifestyle service remodel.
Lincolnshire,AppB-022,PH maximise grant reserve,Public health,1850.0,,new,cashable,statutory,tbd,,yes,PHG reserve drawdown.
Lincolnshire,AppB-023,Public Protection efficiency target share,Environmental & regulatory,7.7,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-024,Public Protection contract reviews,Environmental & regulatory,143.0,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-025,Public Protection budget summit: operational efficiencies,Environmental & regulatory,373.0,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-026,Children's Education efficiency target share,Education,18.6,,carried_forward,cashable,statutory,tbd,,partial,
Lincolnshire,AppB-027,Children's Education budget summit: income,Education,104.7,,new,income,statutory,tbd,,yes,
Lincolnshire,AppB-028,Children's Education budget summit: operational efficiencies,Education,141.0,,new,cashable,statutory,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-029,Children's Education budget summit: operational efficiencies,Education,145.7,,new,cashable,statutory,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-030,Children's SC budget summit: operational efficiencies,Children's social care,15.0,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-031,Children's SC budget summit: grant maximisation,Children's social care,20.8,,new,income,statutory,tbd,,yes,
Lincolnshire,AppB-032,Children's SC budget summit: operational efficiencies,Children's social care,23.0,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-033,Children's SC budget summit: operational efficiencies,Children's social care,45.0,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-034,Children's SC efficiency target share,Children's social care,119.6,,carried_forward,cashable,statutory,tbd,,partial,
Lincolnshire,AppB-035,Children's SC budget summit: grant maximisation,Children's social care,140.8,,new,income,statutory,tbd,,yes,
Lincolnshire,AppB-036,Children's SC budget summit: commissioning review,Children's social care,176.3,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-037,Children's SC budget summit: operational efficiencies,Children's social care,190.3,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-038,Children's SC budget summit: operational efficiencies,Children's social care,225.9,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-039,Children's SC budget summit: grant maximisation,Children's social care,448.0,,new,income,statutory,tbd,,yes,
Lincolnshire,AppB-040,Children's SC budget summit: operational efficiencies,Children's social care,456.5,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-041,Children in Care transformation programme,Children's social care,2912.2,,carried_forward,cashable,statutory,tbd,,no,
Lincolnshire,AppB-042,Fire telecoms infrastructure review,Central services,12.0,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-043,Fire discontinue telephony land lines,Central services,21.0,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-044,Fire budget summit: service efficiencies,Central services,40.3,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-045,Fire operations support efficiencies,Central services,61.5,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-046,Communities: fees + reduce library hub contingency,Environmental & regulatory,65.0,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-047,Communities: remove pay/NI on grant-funded service,Environmental & regulatory,30.5,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-048,Communities: planning application fee income,Planning & development,60.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-049,Communities: Planning Performance Agreement rate,Planning & development,100.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-050,Communities: reduce non-statutory community heritage,Cultural & related,134.0,,new,cashable,discretionary,tbd,,yes,DOGE-flag: cut to non-statutory community heritage (cultural).
Lincolnshire,AppB-051,Communities: PPA income,Planning & development,150.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-052,Communities: reduced EfW tonnage (wheelie bins),Environmental & regulatory,22.0,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-053,Communities: HWRC reuse/repaint,Environmental & regulatory,30.0,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-054,Communities: waste disposal growth,Environmental & regulatory,43.3,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-055,Communities: reduced MDR cost,Environmental & regulatory,131.4,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-056,Communities: paper/card recycling income,Environmental & regulatory,459.7,,unclear,income,discretionary,tbd,,partial,
Lincolnshire,AppB-057,Communities: reduced EfW tonnage (food waste),Environmental & regulatory,1670.7,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-058,Growth: sell Mablethorpe Coastal Centre,Planning & development,4.0,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-059,Growth: sell Long Sutton Market House,Planning & development,6.1,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-060,Growth: service charge external parties,Planning & development,50.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-061,Growth: service charge external parties,Planning & development,50.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-062,Highways: skips/scaffold licence review,Highways & transport,5.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-063,Highways: remove BSi accreditation,Highways & transport,20.0,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-064,Highways: H-bars charging,Highways & transport,25.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-065,Highways: stop street lighting night scout,Highways & transport,25.0,,unclear,cashable,discretionary,tbd,,partial,Reduced street lighting maintenance.
Lincolnshire,AppB-066,Highways: retire ProjectWise,Highways & transport,48.0,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-067,Highways: reduced street lighting reactive maint,Highways & transport,50.0,,new,cashable,discretionary,tbd,,yes,Reduced street lighting maintenance.
Lincolnshire,AppB-068,Highways: reduced street lighting routine maint,Highways & transport,50.0,,new,cashable,discretionary,tbd,,yes,Reduced street lighting maintenance.
Lincolnshire,AppB-069,Highways maintenance efficiencies,Highways & transport,54.2,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-070,Highways efficiency target share,Highways & transport,66.8,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-071,Highways maintenance efficiencies,Highways & transport,78.2,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-072,Highways: fault timescale policy + fees,Highways & transport,85.5,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-073,Highways maintenance efficiencies,Highways & transport,134.6,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-074,Highways: FPN charge increase,Highways & transport,200.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-075,Highways: NRSWA TTRO income,Highways & transport,1248.0,,unclear,income,discretionary,tbd,,partial,
Lincolnshire,AppB-076,GLLEP cessation budget reduction,Planning & development,343.4,,new,cashable,discretionary,tbd,,yes,DOGE-flag: abolition of Greater Lincolnshire LEP funding.
Lincolnshire,AppB-077,Corporate Property efficiency target share,Central services,27.5,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-078,Corporate Property efficiency proposals,Central services,74.0,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-079,Corporate Property income + efficiencies,Central services,83.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-080,Corporate Property grant maximisation,Central services,94.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-081,Corporate Property rationalisation (prior MTFP),Central services,507.4,,carried_forward,cashable,discretionary,tbd,,no,
Lincolnshire,AppB-082,Corporate Property energy price reduction,Central services,980.4,,unclear,cashable,discretionary,tbd,,no,External energy price fall.
Lincolnshire,AppB-083,Corporate Services efficiency target share,Central services,4.4,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-084,Finance efficiency target share,Central services,11.2,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-085,Finance budget summit: operational efficiencies,Central services,45.0,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-086,Finance budget summit: operational efficiencies,Central services,105.7,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-087,Finance budget summit: operational efficiencies,Central services,140.0,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-088,Governance efficiency target share,Central services,3.8,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-089,Governance budget summit: operational efficiencies,Central services,53.5,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-090,Governance budget summit: operational efficiencies,Central services,60.0,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-091,Governance income + efficiencies,Central services,71.5,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-092,IMT efficiency target share,Central services,24.6,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-093,IMT budget summit: operational efficiencies,Central services,322.7,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-094,IMT Boole programme cost reduction,Central services,363.0,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-095,IMT budget summit: operational efficiencies,Central services,480.3,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-096,Org Support efficiency target share,Central services,22.4,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-097,Org Support budget summit: operational efficiencies,Central services,79.0,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-098,Org Support salary sacrifice income,Central services,85.0,,unclear,income,discretionary,tbd,,partial,
Lincolnshire,AppB-099,Org Support budget summit: income,Central services,85.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-100,Org Support digital optimisation,Central services,244.1,,new,cashable,discretionary,tbd,,yes,
Lincolnshire,AppB-101,Org Support budget summit: income,Central services,266.0,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-102,Org Support income + efficiencies,Central services,746.7,,new,income,discretionary,tbd,,yes,
Lincolnshire,AppB-103,Transformation efficiency target share,Central services,7.3,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-104,Transformation budget summit: operational efficiencies,Central services,100.0,,new,cashable,discretionary,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-105,Capital Financing efficiency target share,Central services,61.1,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-106,Capital financing charges (programme review),Central services,1000.0,,unclear,cashable,discretionary,tbd,,no,Technical capital-financing saving.
Lincolnshire,AppB-107,Other Budgets: disposals,Central services,28.0,,unclear,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-108,Other Budgets efficiency target share,Central services,72.1,,carried_forward,cashable,discretionary,tbd,,partial,
Lincolnshire,AppB-109,Other Budgets: County Farm disposals,Central services,170.3,,unclear,cashable,discretionary,tbd,,partial,County Farms estate disposal.
Lincolnshire,AppB-110,Other Budgets: ESPO dividend,Central services,600.0,,unclear,income,discretionary,tbd,,no,
Lincolnshire,AppB-111,Senior management restructure,Central services,1000.0,,new,cashable,discretionary,tbd,,yes,DOGE-flag: senior management restructure; £1m held centrally.
Lincolnshire,AppB-112,Employer pension contribution rate cut 24.1%->17.8%,Central services,9005.6,,new,cashable,discretionary,tbd,,no,"Largest line; external actuarial pension-rate cut, not an efficiency."
Nottinghamshire,AppB-Care&Support,"Adult Social Care demographic demand mitigation: prevention, community-based support, outcome-based commissioning, right-sized teams",Adult social care,10800.0,21300.0,new,cost_avoidance,statutory,tbd,,partial,"Largest mitigation. Demand-management/cost-avoidance, not a cashable cut."
Nottinghamshire,AppB-ExternalPlacements,"External placements for Looked After Children: early intervention/reunification, more foster carers, expand internal children's homes",Children's social care,5840.0,17520.0,new,cost_avoidance,statutory,tbd,,partial,Cost-avoidance vs high-cost external placements; pre-existing sufficiency strategy.
Nottinghamshire,AppB-SocialWorkStaffing,"Children's social work staffing: reduced agency spend, more permanent recruitment",Children's social care,89.0,89.0,new,cashable,statutory,tbd,,partial,DOGE-flag (workforce): agency reduction. One-off 2026/27.
Nottinghamshire,AppB-EHCP,"EHCPs (SEND): process improvement, graduated response, earlier identification",Education,311.0,653.0,new,cost_avoidance,statutory,tbd,,partial,High Needs/SEND demand mitigation; DSG deficit recovery.
Nottinghamshire,AppB-SENDTransport,SEND home-to-school transport: efficiency review + potential policy change subject to consultation,Highways & transport,0.0,2750.0,new,cost_avoidance,discretionary,tbd,,partial,"£0 in 2026/27; £1,830k 2027/28, £920k 2028/29. Potential service reduction pending consultation."
Nottinghamshire,AppB-HomeToSchoolTransport,Mainstream home-to-school transport efficiencies via Cabinet Efficiency Review Group,Highways & transport,0.0,900.0,new,cashable,discretionary,tbd,,partial,DOGE-flag: via 'Cabinet Efficiency Review Group'. £0 in 2026/27.
Nottinghamshire,AppB-ViaHighways,Reduction in Via highways contract cost,Highways & transport,1000.0,1000.0,new,cashable,discretionary,tbd,,partial,Cashable contract-cost reduction; one-off 2026/27.
Nottinghamshire,Para77-PrevApproved,MTFS 'previously approved savings options totalling £7.4m from 2026/27' - no breakdown published,Central services,7400.0,,carried_forward,unclear,discretionary,tbd,,no,Previously approved (pre-Reform MTFS); no breakdown; service_area placeholder.
Staffordshire,,ASC Care Commissioning - approved Feb 2025 (carried),Adult social care,2750.0,2750.0,carried_forward,unclear,statutory,tbd,,no,
Staffordshire,,ASC assessment assurance + care-home placement cost control,Adult social care,8900.0,8900.0,new,cashable,statutory,tbd,,yes,Largest single saving.
Staffordshire,,Productivity saving applied to ASC market,Adult social care,1924.0,2101.0,new,cashable,statutory,tbd,,yes,
Staffordshire,,Care Director replacement system (ICT offset),Adult social care,0.0,300.0,new,cashable,statutory,tbd,,yes,
Staffordshire,,ASC & Safeguarding productivity improvements,Adult social care,400.0,400.0,new,cashable,statutory,tbd,,yes,
Staffordshire,,Children in Care - approved Feb 2025 (carried),Children's social care,3000.0,8500.0,carried_forward,unclear,statutory,tbd,,no,
Staffordshire,,Children in Care transformation - reprofiling/slippage,Children's social care,-1400.0,100.0,carried_forward,unclear,statutory,tbd,,no,NEGATIVE: inherited saving delivery pushed later.
Staffordshire,,Inclusive Education (SEND) - approved Feb 2025 (carried),Education,2115.0,7135.0,carried_forward,unclear,statutory,tbd,,no,
Staffordshire,,DSG transport shortfall vs assumed saving,Education,-200.0,-800.0,carried_forward,unclear,statutory,tbd,,no,NEGATIVE: SEND transport saving not delivered.
Staffordshire,,"SEND transport policy review (occupancy, personal budgets)",Education,700.0,1600.0,new,cashable,statutory,tbd,,yes,
Staffordshire,,Reduced historical teachers pension liability,Education,50.0,350.0,new,cashable,statutory,tbd,,yes,
Staffordshire,,Increase ESG top-slice from DSG,Education,0.0,40.0,new,income,statutory,tbd,,yes,
Staffordshire,,Remove excess property charges on surplus assets,Education,0.0,0.0,new,cashable,statutory,tbd,,yes,
Staffordshire,,Management review and restructure (net cost line),Education,-75.0,-75.0,new,unclear,statutory,tbd,,unclear,NEGATIVE: cost within cost-reduction section.
Staffordshire,,Performance & Assurance - approved Feb 2025 (carried),Children's social care,75.0,225.0,carried_forward,unclear,statutory,tbd,,no,
Staffordshire,,Performance & Assurance - process/debt saving erosion,Children's social care,-42.0,-87.0,carried_forward,unclear,statutory,tbd,,no,NEGATIVE: erosion of inherited saving.
Staffordshire,,Strategic Commissioning / early intervention - reversal,Children's social care,-1250.0,-750.0,carried_forward,unclear,statutory,tbd,,partial,NEGATIVE: inherited early-help saving unwound/reinvested.
Staffordshire,,I+ highways contract fee rebate (efficiency review),Highways & transport,300.0,300.0,new,cashable,discretionary,tbd,,yes,DOGE: efficiency-review contract rebate.
Staffordshire,,Review s38 highway agreement calculations,Highways & transport,30.0,30.0,new,income,discretionary,tbd,,yes,
Staffordshire,,Gully cleansing management efficiencies,Highways & transport,50.0,50.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Intelligent Transport Systems - LED,Highways & transport,0.0,75.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Small fleet review,Highways & transport,0.0,50.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Review street furniture replacement criteria,Highways & transport,50.0,50.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Highway tree management - phase 2,Highways & transport,50.0,50.0,new,cashable,discretionary,tbd,,yes,Green-service reduction (tree management).
Staffordshire,,Reduction to winter service (grit bins),Highways & transport,30.0,30.0,new,cashable,discretionary,tbd,,yes,Service reduction (winter gritting).
Staffordshire,,Post-PFI streetlighting,Highways & transport,0.0,600.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,School crossing patrol efficiencies,Highways & transport,47.0,47.0,new,cashable,discretionary,tbd,,yes,Service reduction (school crossing patrols).
Staffordshire,,Transport/Connectivity/Waste - approved Feb 2025 (carried),Highways & transport,0.0,1000.0,carried_forward,unclear,discretionary,tbd,,no,
Staffordshire,,Bring forward concessionary fares saving,Highways & transport,1000.0,500.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Sustainability service efficiencies,Environmental & regulatory,45.0,45.0,new,cashable,discretionary,tbd,,yes,DOGE/climate: sustainability team efficiency.
Staffordshire,,Bring forward W2R increased revenue,Environmental & regulatory,500.0,0.0,new,income,discretionary,tbd,,yes,
Staffordshire,,Recycling credits - powers of direction,Environmental & regulatory,0.0,500.0,new,income,discretionary,tbd,,yes,
Staffordshire,,"Culture, Rural & Communities - approved Feb 2025 (carried)",Cultural & related,10.0,135.0,carried_forward,unclear,discretionary,tbd,,no,
Staffordshire,,Environment & Countryside and Archives efficiencies,Cultural & related,29.0,29.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Community Safety review of contracts,Central services,42.0,42.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Economic Development & Planning - approved Feb 2025 (carried),Planning & development,0.0,548.0,carried_forward,unclear,discretionary,tbd,,no,
Staffordshire,,Enterprise Centres increased income,Planning & development,100.0,100.0,new,income,discretionary,tbd,,yes,
Staffordshire,,Business & Enterprise non-employee budget efficiencies,Planning & development,54.0,54.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Skills - approved Feb 2025 (carried),Education,0.0,86.0,carried_forward,unclear,statutory,tbd,,no,
Staffordshire,,Skills - third-party staff funding income,Education,68.0,68.0,new,income,statutory,tbd,,yes,
Staffordshire,,Free up Grant (one-off),Central services,395.0,0.0,new,income,discretionary,tbd,,yes,
Staffordshire,,Assets - approved Feb 2025 (carried),Central services,150.0,150.0,carried_forward,unclear,discretionary,tbd,,no,
Staffordshire,,Review pooled buildings budgets (gas & electric),Central services,750.0,750.0,new,cashable,discretionary,tbd,,yes,
Staffordshire,,Review income and staffing across Audit,Central services,100.0,100.0,new,cashable,discretionary,tbd,,yes,DOGE: audit income & staffing reduction.
Staffordshire,,Investment Programme Saving - remove tree planting,Environmental & regulatory,250.0,0.0,new,cashable,discretionary,tbd,,yes,DOGE/climate: removal of tree-planting investment programme.
Staffordshire,,People (HR) - approved Feb 2025 (carried),Central services,34.0,34.0,carried_forward,unclear,discretionary,tbd,,no,
Staffordshire,,Communications & Marketing - approved Feb 2025 (carried),Central services,82.0,86.0,carried_forward,unclear,discretionary,tbd,,no,DOGE-flag (comms/PR); carried-forward.
Staffordshire,,Return of Grant (one-off),Central services,207.0,0.0,new,income,discretionary,tbd,,yes,
Staffordshire,,Review of VCSE contract (efficiency review),Central services,150.0,150.0,new,cashable,discretionary,tbd,,yes,DOGE: efficiency-review VCSE contract.
